keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
Amid A, 2020, IEEE MICRO, V40, P10, DOI 10.1109/MM.2020.2996616	66.0	0.05729413744505411	18.1728	2020	2023	2026	4	3.5	1	3
Song C, 2016, P IEEE S SECUR PRIV, V0, P0	49.0	0.013254671049915115	22.1695	2016	2017	2020	4	2.5	1	1
Ferraiuolo A, 2018, PROCEEDINGS OF THE 2018 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (CCS18), V0, P1583, DOI 10.1145/3243734.3243743	13.0	0.0	6.9507	2018	2019	2020	2	1.5	1	1
Kim J, 2020, IEEE T VLSI SYST, V28, P2424, DOI 10.1109/TVLSI.2020.3015494	38.0	0.0	16.0478	2020	2024	2026	3	3.5	1	4
Jia HY, 2020, IEEE J SOLID-ST CIRC, V55, P2609, DOI 10.1109/JSSC.2020.2987714	126.0	0.11021191183444673	9.0922	2020	2024	2026	3	3.5	1	4
Flamand E, 2018, IEEE INT CONF ASAP, V0, P69	35.0	0.0024575236864615097	15.368	2018	2020	2021	2	2.5	1	2
Xu YZ, 2015, P IEEE S SECUR PRIV, V0, P640, DOI 10.1109/SP.2015.45	29.0	0.09193376528009435	13.4198	2015	2017	2020	4	3.5	1	2
Van Bulck J, 2018, PROCEEDINGS OF THE 27TH USENIX SECURITY SYMPOSIUM, V0, P991	76.0	0.12622603506113575	6.3342	2018	2019	2023	5	2.5	1	1
Hills G, 2019, NATURE, V572, P595, DOI 10.1038/s41586-019-1493-8	364.0	0.03838741261229989	19.0615	2019	2020	2021	2	2.5	1	1
Zimmer B, 2016, IEEE J SOLID-ST CIRC, V51, P930, DOI 10.1109/JSSC.2016.2519386	17.0	7.866273352999017E-4	10.1045	2016	2016	2018	3	1.5	1	0
Lee Y, 2014, PROC EUR SOLID-STATE, V0, P199, DOI 10.1109/ESSCIRC.2014.6942056	10.0	0.0	5.8567	2014	2015	2018	4	3.5	1	1
Krizhevsky A, 2017, COMMUN ACM, V0, PP10971105, DOI 10.1145/3065386]	33.0	0.0885198647223391	13.0741	2017	2021	2022	2	3.5	1	4
Paszke A, 2019, ADV NEUR IN, V32, P0	67.0	0.04823359592591532	26.2618	2019	2023	2024	2	4.5	1	4
Bachrach J, 2012, DES AUT CON, V0, P1212	4.0	0.0	2.6359	2012	2015	2016	2	3.5	1	3
Liu LJ, 2020, SCIENCE, V368, P850, DOI 10.1126/science.aba5980	84.0	1.1799410029498524E-4	7.9762	2020	2022	2023	2	2.5	1	2
Wang WH, 2017, CCS17: PROCEEDINGS OF THE 2017 ACM SIGSAC CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY, V0, P2421, DOI 10.1145/3133956.3134038	8.0	0.0026726599546074282	4.7061	2017	2018	2019	2	1.5	1	1
Lee S, 2017, PROCEEDINGS OF THE 26TH USENIX SECURITY SYMPOSIUM (USENIX SECURITY 17), V0, P557	11.0	0.02223691078765554	5.3927	2017	2018	2020	3	2.5	1	1
