Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
364	19.06	5	0.04	2.05	0.00		Hills G	2019	<html><b>...</b></html>	NATURE	572	595	2.5	10.1038/s41586-019-1493-8	
181		7	0.09	1.00	0.00		Lee D	2020	<html><b>...</b></html>	PROCEEDINGS OF THE FIFTEENTH EUROPEAN CONFERENCE ON COMPUTER SYSTEMS (EUROSYS20)	0	0	2.5	10.1145/3342195.3387532	
150	9.79	7	0.07	1.93	0.00		Kocher P	2019	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	1	3.5	10.1109/SP.2019.00002	
126	9.09	6	0.11	2.59	0.00		Jia HY	2020	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	55	2609	3.5	10.1109/JSSC.2020.2987714	
104	32.03	9	0.07	9.18	0.00		Costan V	2016	<html><b>...</b></html>	PROCEEDINGS OF THE 25TH USENIX SECURITY SYMPOSIUM	0	857	3.5		
93		7	0.12	1.00	0.00		Lipp M	2018	<html><b>...</b></html>	PROCEEDINGS OF THE 27TH USENIX SECURITY SYMPOSIUM	0	973	3.5		
84	7.98	3	0.00	1.00	0.00		Liu LJ	2020	<html><b>...</b></html>	SCIENCE	368	850	2.5	10.1126/science.aba5980	
76	6.33	7	0.13	2.12	0.00		Van Bulck J	2018	<html><b>...</b></html>	PROCEEDINGS OF THE 27TH USENIX SECURITY SYMPOSIUM	0	991	2.5		
68	17.00	3	0.00	1.01	0.00		Wang XY	2020	<html><b>...</b></html>	IEEE INTERNET THINGS	7	4403	1.5	10.1109/JIOT.2020.2976702	
67	26.26	5	0.05	3.45	0.00		Paszke A	2019	<html><b>...</b></html>	ADV NEUR IN	32	0	4.5		
66	18.17	5	0.06	2.75	0.00		Amid A	2020	<html><b>...</b></html>	IEEE MICRO	40	10	3.5	10.1109/MM.2020.2996616	
64	8.36	3	0.00	1.04	0.00		Bishop MD	2020	<html><b>...</b></html>	NAT ELECTRON	3	492	2.5	10.1038/s41928-020-0419-7	
56	16.89	7	0.10	4.73	0.00		Costan Victor	2016	<html><b>...</b></html>	Cryptology ePrint Archive	0	0	3.5	DOI 10.1159/000088809	
54	16.15	3	0.02	1.32	0.00		Qiu CG	2017	<html><b>...</b></html>	SCIENCE	355	271	3.5	10.1126/science.aaj1628	
54	13.28	4	0.01	1.07	0.00		Zaruba F	2019	<html><b>...</b></html>	IEEE T VLSI SYST	27	2629	3.5	10.1109/TVLSI.2019.2926114	
50	17.12	7	0.12	7.42	0.00		Jouppi NP	2017	<html><b>...</b></html>	44TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE (ISCA 2017)	0	1	4.5	10.1145/3079856.3080246	
49	22.17	4	0.01	1.34	0.00		Song C	2016	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	0	2.5		
47	11.64	6	0.04	1.55	0.00		Sandler M	2018	<html><b>...</b></html>	PROC CVPR IEEE	0	4510	3.5	10.1109/CVPR.2018.00474	
38	16.05	1	0.00	1.00	0.00		Kim J	2020	<html><b>...</b></html>	IEEE T VLSI SYST	28	2424	3.5	10.1109/TVLSI.2020.3015494	
37	15.62	6	0.10	4.28	0.00		Sebastian A	2020	<html><b>...</b></html>	NAT NANOTECHNOL	15	529	3.5	10.1038/s41565-020-0655-z	
36		1	0.00	1.00	0.00		Pinto S	2019	<html><b>...</b></html>	ACM COMPUT SURV	51	0	4.5	10.1145/3291047	
35	15.37	2	0.00	1.04	0.00		Flamand E	2018	<html><b>...</b></html>	IEEE INT CONF ASAP	0	69	2.5		
33		2	0.01	1.00	0.00		Pullini A	2019	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	54	1970	1.5	10.1109/JSSC.2019.2912307	
33	13.07	5	0.09	3.03	0.00		Krizhevsky A	2017	<html><b>...</b></html>	COMMUN ACM	0	10971105	3.5	10.1145/3065386]	
31	12.27	3	0.01	1.10	0.00		Sze V	2017	<html><b>...</b></html>	P IEEE	105	2295	3.5	10.1109/JPROC.2017.2761740	
30		3	0.01	1.00	0.00		Schrammel D	2020	<html><b>...</b></html>	PROCEEDINGS OF THE 29TH USENIX SECURITY SYMPOSIUM	0	1677	4.5		
29	13.42	11	0.09	3.26	0.00		Xu YZ	2015	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	640	3.5	10.1109/SP.2015.45	
29		4	0.02	1.00	0.00		Dessouky G	2019	<html><b>...</b></html>	PROCEEDINGS OF THE 28TH USENIX SECURITY SYMPOSIUM	0	213	4.5		
29	11.47	4	0.02	1.22	0.00		Garofalo A	2020	<html><b>...</b></html>	PHILOS T R SOC A	378	0	0.5	10.1098/rsta.2019.0155	
27		4	0.05	1.00	0.00		Murdock K	2020	<html><b>...</b></html>	P IEEE S SECUR PRIV	0	1466	2.5	10.1109/SP40000.2020.00057	
26		2	0.01	1.00	0.00		He KM	2016	<html><b>...</b></html>	PROC CVPR IEEE	0	770	4.5	10.1109/CVPR.2016.90	
24		2	0.01	1.00	0.00		Devlin J	2019	<html><b>...</b></html>	2019 CONFERENCE OF THE NORTH AMERICAN CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES (NAACL HLT 2019)	OL. 1	4171	4.5		
23		3	0.02	1.00	0.00		Tan MX	2019	<html><b>...</b></html>	PR MACH LEARN RES	97	0	4.5		
21		2	0.01	1.00	0.00		Chen GX	2019	<html><b>...</b></html>	2019 4TH IEEE EUROPEAN SYMPOSIUM ON SECURITY AND PRIVACY (EUROS&P)	0	142	4.5	10.1109/EuroSP.2019.00020	
21	9.68	7	0.05	1.66	0.00		Baumann A	2015	<html><b>...</b></html>	ACM T COMPUT SYST	33	0	3.5	10.1145/2799647	
20		1	0.00	1.00	0.00		Brown TB	2020	<html><b>...</b></html>	ADV NEUR IN	33	0	4.5		
19		3	0.00	1.00	0.00		Chen YH	2017	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	52	127	3.5	10.1109/JSSC.2016.2616357	
